text,label
"Je te trouve très brillante, c’est ce que j’aime chez toi.",0
C’est apaisant d’être avec quelqu’un de fiable.,0
J’espère être à la hauteur de ta gentillesse respectueuse.,0
"Tu es toujours respectueuse avec les autres, c’est rare.",0
Tu ruines tout avec ton comportement manipulatrice.,1
"Tu mérites d’être aimée, belle inspiration forte.",0
Tu es une perle exceptionnelle.,0
Je me sens compris(e) grâce à ta posture intelligente.,0
Je suis reconnaissant(e) de ta présence si belle.,0
C’est triste de voir une toxique aussi paresseuse.,1
Je suis reconnaissant(e) de ta présence si rassurante.,0
Tu ruines tout avec ton comportement lâche.,1
"Je te trouve très importante, c’est ce que j’aime chez toi.",0
"Ta présence est respectueuse, je me sens bien avec toi.",0
C’est apaisant d’être avec quelqu’un de formidable.,0
J’ai beaucoup de respect pour ta façon d’être sincère.,0
Même un enfant est moins agaçante que toi.,1
Je suis reconnaissant(e) de ta présence si lumineuse.,0
"Tu es toujours fiable avec les autres, c’est rare.",0
"Arrête de faire ta ratée, c’est insupportable.",1
"Courage, tu es respectueuse et tu vas y arriver.",0
Ton comportement est vraiment désespérante et dégoûtant.,1
Tu me rends malade avec ton attitude stupide.,1
Ta nature importante me rassure et m’apaise.,0
C’est fou à quel point tu es pathétique.,1
C’est fou à quel point tu es décevante.,1
Tu sais que t’as l’air ridicule en parlant comme ça ?,1
"Continue d’être cette perle, forte et gentille.",0
"Même ton silence est attentionnée, tu sais ?",0
J’ai beaucoup de respect pour ta façon d’être précieuse.,0
"Tu passes ton temps à être menteuse, c’est pitoyable.",1
"Arrête de faire ta hystérique, c’est insupportable.",1
"Tu mérites d’être aimée, belle personne en or fiable.",0
Tu veux avoir raison mais t’es juste sale.,1
"Je t’écoute même plus, t’es trop incompétente.",1
"C’est toujours la même chose avec toi, t’es manipulatrice.",1
Tu es une fée exceptionnelle.,0
C’est rare de rencontrer quelqu’un d’aussi respectueuse.,0
"Merci pour ta patience brillante, ça me touche.",0
J’ai honte d’être avec une égoïste aussi instable.,1
Même mes potes trouvent que t’es hystérique.,1
Même mes potes trouvent que t’es inutile.,1
T’es qu’une désespérante bonne à rien.,1
Tu es sincèrement quelqu’un de patiente.,0
Ton comportement est vraiment hystérique et dégoûtant.,1
Tu veux avoir raison mais t’es juste méprisable.,1
C’est apaisant d’être avec quelqu’un de gentille.,0
"Tu es toujours brillante avec les autres, c’est rare.",0
"Tu pourrais faire un effort mais non, t’es trop instable.",1
"T’as une énergie rassurante, c’est apaisant.",0
"Courage, tu es précieuse et tu vas y arriver.",0
"Tu es toujours brillante avec les autres, c’est rare.",0
Personne ne supporte une fille aussi jalouse.,1
Tu as une présence vraiment forte.,0
"Je t’écoute même plus, t’es trop incompétente.",1
"T’as encore tout gâché, comme une manipulatrice typique.",1
"Je suis fier de toi, ma belle âme si précieuse.",0
T’as tout détruit avec ta façon méprisable d’agir.,1
Tu veux avoir raison mais t’es juste inutile.,1
Tu as une présence vraiment lumineuse.,0
Même mes potes trouvent que t’es désespérante.,1
"Tu pourrais faire un effort mais non, t’es trop incompétente.",1
Je suis reconnaissant(e) de ta présence si sincère.,0
T’es vraiment la personne la plus sale que je connaisse.,1
"Je suis fier de toi, ma trésor si formidable.",0
Je suis touché(e) par ta manière d’être formidable.,0
"Même ton silence est sincère, tu sais ?",0
J’ai beaucoup de respect pour ta façon d’être intelligente.,0
Tu ruines tout avec ton comportement faible.,1
"Merci d’être aussi calme, ça compte pour moi.",0
Tu me rends malade avec ton attitude agaçante.,1
Personne ne supporte une fille aussi paresseuse.,1
Je suis touché(e) par ta manière d’être sincère.,0
J’espère être à la hauteur de ta gentillesse courageuse.,0
"Je t’écoute même plus, t’es trop jalouse.",1
J’en peux plus de tes réactions pathétique.,1
Je suis touché(e) par ta manière d’être formidable.,0
J’ai honte d’être avec une menteuse aussi méprisable.,1
Tu es sincèrement quelqu’un de brillante.,0
Même mes potes trouvent que t’es inutile.,1
"Courage, tu es attentionnée et tu vas y arriver.",0
"T’as vraiment une personnalité instable, c’est toxique.",1
"Tu passes ton temps à être menteuse, c’est pitoyable.",1
"T’es vraiment pathétique, tu me fatigues.",1
Personne ne supporte une fille aussi instable.,1
"Merci pour ta patience gentille, ça me touche.",0
Je me sens compris(e) grâce à ta posture respectueuse.,0
J’ai beaucoup de respect pour ta façon d’être précieuse.,0
Je n’oublierai jamais ta douceur gentille.,0
Tu veux avoir raison mais t’es juste instable.,1
"C’est toujours la même chose avec toi, t’es lâche.",1
T’as une manière pathétique de tout foutre en l’air.,1
"Courage, tu es précieuse et tu vas y arriver.",0
Tu me rends malade avec ton attitude ridicule.,1
C’est agréable de te savoir aussi belle.,0
"Arrête de faire ta menteuse, c’est insupportable.",1
"Ta présence est importante, je me sens bien avec toi.",0
Tu ruines tout avec ton comportement hystérique.,1
Tu sais que t’as l’air méprisable en parlant comme ça ?,1
J’ai beaucoup de respect pour ta façon d’être gentille.,0
"Même ton silence est respectueuse, tu sais ?",0
"T’as vraiment une personnalité désespérante, c’est toxique.",1
J’ai beaucoup de respect pour ta façon d’être gentille.,0
Tu veux avoir raison mais t’es juste lâche.,1
"Merci pour ta patience précieuse, ça me touche.",0
C’est agréable de te savoir aussi lumineuse.,0
J’espère être à la hauteur de ta gentillesse courageuse.,0
Ta nature formidable me rassure et m’apaise.,0
"Je t’écoute même plus, t’es trop sale.",1
C’est rare de rencontrer quelqu’un d’aussi respectueuse.,0
C’est rare de rencontrer quelqu’un d’aussi belle.,0
"Merci pour ta patience formidable, ça me touche.",0
Tu es sincèrement quelqu’un de précieuse.,0
C’est rare de rencontrer quelqu’un d’aussi rassurante.,0
Tu me rends malade avec ton attitude ridicule.,1
J’en peux plus de tes réactions sale.,1
Même mes potes trouvent que t’es décevante.,1
"Je suis fier de toi, ma lumière si attentionnée.",0
"Je suis fier de toi, ma guerrière si gentille.",0
"Si t’étais moins décevante, on s’en sortirait peut-être.",1
"Tu mérites d’être aimée, belle ange intelligente.",0
T’es qu’une désespérante bonne à rien.,1
"Ta présence est importante, je me sens bien avec toi.",0
"T’es vraiment sale, tu me fatigues.",1
Même mes potes trouvent que t’es décevante.,1
